20101004225712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source :  Medtronic..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cerises (hors noyaux),g,100,,,15.00,,vingtaine (125g),1,,,18,,g (bigarreaux confits - Vahiné),100,,,76,,,,,,,,,,,,,
Chair à saucisse| saucisse| knack,g,100,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Chamallow,g,100,,,80.00,,unité de 5g (Haribo),1,,,4,,unité de 3.5g (Mallow Mix de Krema),1,,,2.8,,,,,,,,,,,,,
Chamonix,g,100,,,78.00,,unité de 12.5g,1,,,9.8,,portion de 2,1,,,20,,,,,,,,,,,,,
Champagne brut,ml,100,,,1.00,,coupe (10cl),1,,,1,,,,,,,,,,,,,,,,,,,
Champagne demi sec,ml,100,,,2.00,,coupe (10cl),1,,,2,,,,,,,,,,,,,,,,,,,
Champignons cru| en salade| à la grecque,g,100,,,2.00,,assiette de 200g,1,,,4,,,,,,,,,,,,,,,,,,,
Champignons en conserve cèpes| chanterelles| girolles,g,100,,,1.70,,assiette de 200g,1,,,3,,,,,,,,,,,,,,,,,,,
Chapelure,g,100,,,70.00,,c. à soupe (10g),1,,,7,,,,,,,,,,,,,,,,,,,
Charcuterie : bacon| cervela| chorizo| coppa| galantine| mortadelle| pâté| rosette| saucisson| salami ...,g,100,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte aux fruits,g,100,,,28.00,,part de 100g,1,,,28,,,,,,,,,,,,,,,,,,,
Châtaignes grillées ou non (hors peau),g,100,,,38.00,,portion (50g),1,,,19,,,,,,,,,,,,,,,,,,,
Chatreuse jaune,ml,100,,,37.50,,dose (4cl),1,,,15,,,,,,,,,,,,,,,,,,,
Chatreuse verte,ml,100,,,25.00,,dose (4cl),1,,,10,,,,,,,,,,,,,,,,,,,
Chausson aux pommes,g,100,,,32.00,,unité de 110g (boulangerie),1,,,35,,g (surgelé),100,,,37.5,,unité de 80g (surgelé),1,,,30,,,,,,,
Cheerios Nestlé,g,100,,,75.00,,bol de 40g,1,,,30,,,,,,,,,,,,,,,,,,,
Cheeseburger (McDo),unité de 120g,1,,,30.00,,,,,,,,,,,,,,,,,,,,,,,,,
Chewing gum,g,100,,,36.00,,tablette de 2.8g,1,,,1,,,,,,,,,,,,,,,,,,,
Chewing gum sans sucre,g,100,,,0.00,,tablette,1,,,0,,,,,,,,,,,,,,,,,,,
Chicken mc nuggets (McDo) ,g,100,,,15.28,,portion (4 pièces env. 72g),1,,,11,,portion (6 pièces env. 106g),1,,,16,,portion (9 pièces env. 161g),1,,,25,,,,,,,
Chili con carne,g,100,,,10.00,,assiette de 300g,1,,,30,,,,,,,,,,,,,,,,,,,
Chipolatas| merguez,g,100,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Chips,g,100,,,54.00,,petit paquet de 30g,1,,,16,,,,,,,,,,,,,,,,,,,
Chips chinoises salées,g,100,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,,
Chipster pétale salé,g,100,,,53.00,,portion de 50 biscuits (15g),1,,,8,,,,,,,,,,,,,,,,,,,
Chocapic Nestlé,g,100,,,75.00,,bol de 40g,1,,,30,,,,,,,,,,,,,,,,,,,
Choco BN,g,100,,,68.00,,biscuit de 18.75g (non allégé),1,,,13,,mini (7g),1,,,4.6,,pochon de 6 mini,1,,,27.6,,,,,,,
Choco krispies Kellogg's,g,100,,,87.50,,bol de 40g,1,,,35,,,,,,,,,,,,,,,,,,,
Chocoglacé (McDo),part de 113g,1,,,39.00,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat au lait (moyenne),g,100,,,50.00,,carré de 4g,1,,,2,,portion de 4 carrés (4x4g),1,,,8,,,,,,,,,,,,,
Chocolat blanc,g,100,,,55.00,,carré de 4g,1,,,2.2,,portion de 4 carrés (4x4g),1,,,8.8,,,,,,,,,,,,,
Chocolat dégustation noir intense Nestlé,g,100,,,37.50,,carré de 8g,1,,,3,,,,,,,,,,,,,,,,,,,
Chocolat en poudre sucré,g,100,,,80.00,,c. à café (5g),1,,,4,,c. à soupe (20g),1,,,16,,,,,,,,,,,,,
Chocolat lait noisettes,g,100,,,48.00,,carré de 8g,1,,,4,,portion de carrés (4x8g),1,,,16,,,,,,,,,,,,,
Chocolat noir 50% de cacao,g,100,,,50.00,,barre de 25g,1,,,12.5,,,,,,,,,,,,,,,,,,,
Chocolat sans sucre,g,100,,,35.00,,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat viennois ou chocolat liégeois,g,100,,,20.00,,pot de 100g,1,,,20,,,,,,,,,,,,,,,,,,,
Chocopops Kellogg's,g,100,,,87.50,,bol de 40g,1,,,35,,,,,,,,,,,,,,,,,,,
Chocos Kellogg's,g,100,,,87.50,,bol de 40g,1,,,35,,,,,,,,,,,,,,,,,,,
