20091215223527,,,,,,,,,,,,,,,,,,
source used :  Swiss Food Composition Database V2.0 - ETH Zurich & Federal Office of Public Health,,,,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,,,,
Eistee| gezuckert,grams,100,30.00,0.00,7.50,0.00,,,,,,,,,,,,
Emmentaler| vollfett,grams,100,421.68,29.00,0.37,33.80,,,,,,,,,,,,
Endivie| roh,grams,100,13.76,1.75,2.46,0.20,,,,,,,,,,,,
Engadiner Nusstorte,grams,100,465.45,6.49,54.06,25.80,,,,,,,,,,,,
Erdbeere| frisch,grams,100,35.30,0.70,9.20,0.50,,,,,,,,,,,,
Erdnuss| geröstet,grams,100,576.60,25.30,16.80,49.00,,,,,,,,,,,,
Erdnussbutter,grams,100,626.10,22.60,19.80,53.70,,,,,,,,,,,,
Erdnuss-Flips,grams,100,497.03,13.20,61.43,24.23,,,,,,,,,,,,
Erdnussöl,grams,100,899.10,0.00,0.00,99.90,,,,,,,,,,,,
Farmer Soft Fit| mit Vitaminen,grams,100,367.14,5.18,75.81,6.15,,,,,,,,,,,,
Farmer| soft| mit Lemon| mit Vitamin C,grams,100,409.38,9.01,72.55,10.91,,,,,,,,,,,,
Farmer| soft| mit Milch und Erdbeeren| mit Vitaminen und Magnesium,grams,100,427.20,14.07,54.55,18.00,,,,,,,,,,,,
Farmer| soft| mit Milch| mit Vitaminen und Calcium,grams,100,448.72,15.19,57.71,19.15,,,,,,,,,,,,
Feige| frisch,grams,100,68.30,0.90,18.50,0.30,,,,,,,,,,,,
Feige| getrocknet,grams,100,250.80,3.20,67.80,1.20,,,,,,,,,,,,
Fenchel| roh,grams,100,16.30,1.10,5.60,0.30,,,,,,,,,,,,
Feta (Kuhmilch),grams,100,261.90,17.50,1.40,20.70,,,,,,,,,,,,
Feta (Schaf-/Ziegenmilch),grams,100,250.20,17.00,1.50,18.80,,,,,,,,,,,,
Fisch| Dorsch| roh,grams,100,78.70,18.10,0.00,0.70,,,,,,,,,,,,
Fisch| Egli (Flussbarsch)| roh,grams,100,78.74,18.02,0.00,0.74,,,,,,,,,,,,
Fisch| Flunder| roh,grams,100,72.30,16.50,0.00,0.70,,,,,,,,,,,,
Fisch| Forelle| roh,grams,100,107.70,19.50,0.00,3.30,,,,,,,,,,,,
Fisch| Hecht| roh,grams,100,81.25,18.40,0.00,0.85,,,,,,,,,,,,
Fisch| Heilbutt| roh,grams,100,117.50,20.60,0.00,3.90,,,,,,,,,,,,
Fisch| Lachs| geräuchert,grams,100,171.19,22.51,0.30,8.88,,,,,,,,,,,,
Fisch| Lachs| Zucht| roh,grams,100,200.20,19.90,0.00,13.40,,,,,,,,,,,,
Fisch| Sardine| roh,grams,100,162.60,20.40,0.00,9.00,,,,,,,,,,,,
Fisch| Scholle| roh,grams,100,85.50,17.10,0.00,1.90,,,,,,,,,,,,
Fisch| Seehecht| roh,grams,100,70.70,17.00,0.00,0.30,,,,,,,,,,,,
Fisch| Seelachs (Köhler)| roh,grams,100,79.90,19.30,0.00,0.30,,,,,,,,,,,,
Fisch| Seezunge| roh,grams,100,84.70,18.70,0.00,1.10,,,,,,,,,,,,
Fisch| Thunfisch| roh,grams,100,149.40,23.40,0.00,6.20,,,,,,,,,,,,
Fischerzeugnis| Fischstäbchen| paniert|  roh,grams,100,172.07,16.41,25.94,0.97,,,,,,,,,,,,
Fischerzeugnis| Rollmops (Hering| sauer),grams,100,269.50,12.00,19.60,15.90,,,,,,,,,,,,
Fischerzeugnis| Sardelle im Öl| abgetropft,grams,100,160.00,21.70,0.30,8.00,,,,,,,,,,,,
Fischerzeugnis| Sardine im Öl| abgetropft,grams,100,215.30,23.00,0.00,13.70,,,,,,,,,,,,
Fischerzeugnis| Surimi,grams,100,81.10,12.60,6.10,0.70,,,,,,,,,,,,
Fischerzeugnis| Thon im Öl| abgetropft,grams,100,186.00,27.60,0.00,8.40,,,,,,,,,,,,
Fischerzeugnis| Thon im Wasser| abgetropft,grams,100,116.80,25.60,0.00,1.60,,,,,,,,,,,,
Fleischkäse,grams,100,259.68,12.60,1.29,22.66,,,,,,,,,,,,
Fondue| Fertigprodukt,grams,100,259.17,14.25,4.54,17.27,,,,,,,,,,,,
Freiburger Vacherin,grams,100,372.95,23.95,0.88,30.40,,,,,,,,,,,,
Frischkäsezubereitung| Doppelrahm,grams,100,337.93,7.85,4.46,32.07,,,,,,,,,,,,
Frischkäsezubereitung| halbfett,grams,100,103.20,8.70,3.60,6.00,,,,,,,,,,,,
Frischkäsezubereitung| Rahm,grams,100,224.25,12.49,1.94,18.50,,,,,,,,,,,,
Fruchtglace,grams,100,184.80,3.50,24.70,8.00,,,,,,,,,,,,
Fünfkornbier,grams,100,40.00,0.62,2.82,0.00,,,,,,,,,,,,
Gartenbohne| grün| roh,grams,100,24.60,2.10,6.70,0.20,,,,,,,,,,,,
Gartenerbse| grün| roh,grams,100,78.30,6.00,18.00,0.70,,,,,,,,,,,,
Gebäck mit Fruchtfüllung und Haselnüssen (Vogelnestli),grams,100,443.75,6.59,69.56,16.44,,,,,,,,,,,,
Gemüsekonserve| Champignons,grams,100,15.70,2.30,3.00,0.50,,,,,,,,,,,,
