20091215223110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source :  Swiss Food Composition Database V2.0 - ETH Zurich & Federal Office of Public Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cèpe de Bordeaux (bolet)| frais,g,100,20.12,3.60,6.55,0.40,,,,,,,,,,,,,,,,,,,,,,,,
Cerf| crue,g,100,112.46,20.60,0.00,3.34,,,,,,,,,,,,,,,,,,,,,,,,
Cerise| fraîche,g,100,70.90,1.30,17.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Champignon| cru,g,100,14.90,2.10,3.00,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Chanterelle| crue,g,100,11.70,1.60,4.90,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Chapelure,g,100,361.10,14.20,76.30,1.90,,,,,,,,,,,,,,,,,,,,,,,,
Châtaigne| fraîche,g,100,170.90,2.48,44.34,1.90,,,,,,,,,,,,,,,,,,,,,,,,
Chausson aux poires,g,100,303.74,4.48,55.29,10.36,,,,,,,,,,,,,,,,,,,,,,,,
Cheval| filet| cru,g,100,102.43,21.38,0.00,1.87,,,,,,,,,,,,,,,,,,,,,,,,
Chèvre (valeur moyenne)| crue,g,100,148.92,19.50,0.00,7.88,,,,,,,,,,,,,,,,,,,,,,,,
Chevreuil| crue,g,100,121.55,22.40,0.00,3.55,,,,,,,,,,,,,,,,,,,,,,,,
Chicorée de Bruxelles| crue,g,100,8.60,1.00,3.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,
Chicorée pain de sucre| crue,g,100,12.78,1.20,3.10,0.22,,,,,,,,,,,,,,,,,,,,,,,,
Chicorée rouge| crue,g,100,12.90,1.40,4.60,0.10,,,,,,,,,,,,,,,,,,,,,,,,
Chips de maïs,g,100,500.00,7.80,60.40,27.20,,,,,,,,,,,,,,,,,,,,,,,,
Choc ovo (Ovomaltine)| Wander,g,100,435.00,11.10,68.70,14.50,,,,,,,,,,,,,,,,,,,,,,,,
Choc ovo chrunchy (Ovomaltine)| Wander,g,100,452.00,10.80,68.50,16.00,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat au lait,g,100,539.75,7.48,55.38,32.90,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat au lait avec raisins secs| noisettes et amandes,g,100,501.96,7.56,55.93,29.63,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat au lait fourré à l‘alcool,g,100,479.62,5.41,61.99,23.03,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat au lait fourré à la crème (Gianduja| Nougat),g,100,563.58,6.96,50.77,38.53,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat au lait| avec noisettes,g,100,563.75,8.10,48.68,38.61,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat au lait| avec nougat aux amandes et au miel,g,100,530.37,7.13,56.65,31.43,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat au lait| fourré à la crème de noisettes (branche),g,100,550.58,7.63,52.32,36.03,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat en poudre,g,100,381.20,6.33,81.81,7.84,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat| blanc,g,100,565.29,7.05,52.82,36.19,,,,,,,,,,,,,,,,,,,,,,,,
Chocolat| noir (sans lait),g,100,516.34,4.35,61.58,31.26,,,,,,,,,,,,,,,,,,,,,,,,
Chou blanc| cru,g,100,24.00,1.37,7.14,0.20,,,,,,,,,,,,,,,,,,,,,,,,
Chou de Bruxelles| cru,g,100,34.50,4.00,7.80,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Chou de Chine| cru,g,100,11.94,1.07,3.14,0.30,,,,,,,,,,,,,,,,,,,,,,,,
Chou frisé| cru,g,100,25.68,2.78,5.49,0.32,,,,,,,,,,,,,,,,,,,,,,,,
Chou rouge| cru,g,100,24.30,1.40,7.00,0.30,,,,,,,,,,,,,,,,,,,,,,,,
Chou-fleur| cru,g,100,21.50,2.40,4.70,0.30,,,,,,,,,,,,,,,,,,,,,,,,
Chou-rave| frais,g,100,24.00,1.94,5.14,0.16,,,,,,,,,,,,,,,,,,,,,,,,
Ciboulette| fraîche,g,100,25.00,3.00,4.20,0.60,,,,,,,,,,,,,,,,,,,,,,,,
Cidre de pomme| 4 % vol,g,100,31.70,0.00,2.50,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Cidre de pomme| 6.2 % vol,g,100,64.20,0.00,7.30,0.00,,,,,,,,,,,,,,,,,,,,,,,,
Citron| frais,g,100,15.50,0.70,4.60,0.30,,,,,,,,,,,,,,,,,,,,,,,,
Coeurs de France,g,100,521.44,5.37,61.90,29.09,,,,,,,,,,,,,,,,,,,,,,,,
Coing| frâiche,g,100,28.20,0.30,12.70,0.20,,,,,,,,,,,,,,,,,,,,,,,,
Concombre| cru,g,100,11.97,0.70,2.80,0.13,,,,,,,,,,,,,,,,,,,,,,,,
Confiture,g,100,230.50,0.50,58.20,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Confiture| avec valeur énergétique réduite| édulcorée,g,100,134.00,0.50,32.70,0.50,,,,,,,,,,,,,,,,,,,,,,,,
Conserve de fruits| abricot| non sucrée,g,100,44.10,0.80,12.10,0.10,,,,,,,,,,,,,,,,,,,,,,,,
